sno,year,name,Rating,hour
1,2003,Dinosaur Planet,4.9,3
2,2004,Isle of Man TT 2004 Review,1.2,3
3,1997,Character,4.5,3
4,1994,Paula Abdul's Get Up & Dance,3.7,3
5,2004,The Rise and Fall of ECW,3.4,1
6,1997,Sick,4.9,3
7,1992,8 Man,3.6,3
8,2004,What the #$*! Do We Know!?,3.3,2
9,1991,Class of Nuke 'Em High 2,4.9,1
10,2001,Fighter,4.7,1
11,1999,Full Frame: Documentary Shorts,3.7,2
12,1947,My Favorite Brunette,4.3,1
13,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.9,2
14,1982,Nature: Antarctica,1.7,1
15,1988,Neil Diamond: Greatest Hits Live,3.4,2
16,1996,Screamers,1.3,3
17,2005,7 Seconds,3,1
18,1994,Immortal Beloved,4.9,1
19,2000,By Dawn's Early Light,2.7,3
20,1972,Seeta Aur Geeta,2.2,3
21,2002,Strange Relations,3.9,2
22,2000,Chump Change,2.3,2
23,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,4.6,1
24,1981,My Bloody Valentine,1.1,1
25,1997,Inspector Morse 31: Death Is Now My Neighbour,4.1,2
26,2004,Never Die Alone,4,2
27,1962,Sesame Street: Elmo's World: The Street We Live On,3.2,2
28,2002,Lilo and Stitch,1.3,1
29,2001,Boycott,1.1,1
30,2003,Something's Gotta Give,4.8,3
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell,2.8,3
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ,3.7,1
33,2000,Aqua Teen Hunger Force: Vol. 1,2.1,3
34,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane,2.6,3
35,2000,Ferngully 2: The Magical Rescue,4.3,3
36,1992,Lady Chatterley,1,1
37,1973,Zatoichi's Conspiracy,2,2
38,2003,Daydream Obsession,4.3,3
39,2000,Love Reinvented,4.7,1
40,2004,Pitcher and the Pin-Up,2.6,3
41,2000,Horror Vision,4,2
42,2002,Searching for Paradise,4.4,3
43,2000,Silent Service,4.5,1
44,1996,Spitfire Grill,1,3
45,1999,The Love Letter,2.8,3
46,1964,Rudolph the Red-Nosed Reindeer,3.3,3
47,1952,The Bad and the Beautiful,3.9,1
48,2001,Justice League,4.6,2
49,2003,Devo: The Complete Truth About De-evolution,4.4,2
50,1941,A Yank in the R.A.F.,2.2,3
51,2002,Jonah: A VeggieTales Movie: Bonus Material,3.4,1
52,2002,The Weather Underground,1.8,2
53,2003,The Bonesetter,2.1,1
54,1952,We're Not Married,4.8,1
55,1995,Jade,1.2,2
56,2004,Carandiru,1.2,1
57,1995,Richard III,3.1,1
58,1996,Dragonheart,3.9,3
59,2003,Sex and the Beauties,2.3,3
60,1969,The Libertine,2.2,2
61,1999,Ricky Martin: One Night Only,4,1
62,1991,Ken Burns' America: Empire of the Air,3.7,1
63,1943,Crash Dive,5,3
64,2001,Outside the Law,2.2,3
65,2000,Lost in the Pershing Point Hotel,3.1,2
66,1989,Barbarian Queen 2,4.1,1
67,1997,Vampire Journals,2.6,3
68,2004,Invader Zim,3.8,2
69,2003,WWE: Armageddon 2003,3.2,2
70,1999,Tai Chi: The 24 Forms,2.7,3
71,1995,Maya Lin: A Strong Clear Vision,5,1
73,1954,Davy Crockett: 50th Anniversary Double Feature,2.8,2
74,1999,6ixtynin9,2.1,1
75,1997,Grind,4.9,2
76,1952,I Love Lucy: Season 2,2.4,2
77,1995,Congo,4,1
78,1996,Jingle All the Way,4.4,2
79,1956,The Killing,3,2
80,1979,Winter Kills,4.3,2
81,1991,Antarctica: IMAX,4,3
82,1951,The Frogmen,1.3,3
83,1983,Silkwood,3.2,1
84,2002,The Powerpuff Girls Movie,2.9,1
85,2005,Elfen Lied,3.1,3
86,1996,Iron Monkey 2,2.5,2
87,2002,Louder Than Bombs,4,3
88,1998,Record of Lodoss War: Chronicles of the Heroic Knight,2.6,3
89,2000,Chain of Command,2.8,1
90,1951,The Lemon Drop Kid,1.1,3
91,2005,WWE: Royal Rumble 2005,3.3,1
92,2002,ECW: Cyberslam '99,3.4,3
93,2004,They Came Back,4.3,3
94,2000,G3: Live in Concert,4.8,2
95,1985,Dona Herlinda and Her Son,3.1,2
96,2000,Inside the Space Station,4.3,2
97,2002,Mostly Martha,2.1,1
98,1965,The Battle of Algiers: Bonus Material,1.2,1
99,1989,A Fishy Story,1.1,3
100,1993,Sam the Iron Bridge,2.8,2
101,1997,Complete Shamanic Princess,4.3,2
102,2004,Notre Musique,3.9,1
103,1976,Sanford and Son: Season 6,4.3,2
104,1965,The Great Race,4.5,3
105,2002,Obsessed,2.7,3
106,2004,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,4.7,2
107,2000,Magnolia: Bonus Material,3.7,1
108,2004,Spartan,4.6,3
109,1996,No Way Back,1.2,2
110,1989,Scandal,4.5,3
111,2003,Duplex (Widescreen),2.2,3
112,1993,The Eye of Vichy,1.1,3
113,2000,Bruce Lee: A Warrior's Journey,4.4,2
114,1989,Dominion Tank Police Part 1 & 2,2.5,3
115,1973,Lord Peter Wimsey: Murder Must Advertise,4.7,3
116,2004,Bear Cub,3.6,1
117,1957,Silk Stockings,2.8,3
118,1985,Rambo: First Blood Part II,2.8,2
119,1999,Travel the World by Train: Africa,4.5,3
120,2004,Plain Dirty,4.1,2
121,2003,Beyonce: Live at Wembley,1.9,2
122,2002,Cube 2: Hypercube,3.6,1
123,2000,Chain of Fools,2.2,1
124,2000,Cold Blooded,1.7,3
125,1981,Nighthawks,2.8,3
126,2003,Vampire Effect (aka Twins Effect),3.5,1
127,1987,Fatal Beauty,1.2,2
128,1985,Mr. Vampire,4.8,1
129,2003,Darkwolf,3.4,2
130,1999,Drowning on Dry Land,1.7,1
131,2002,Arachnid,1.8,2
132,1981,Lucio Fulci: The Beyond,2.1,2
133,2003,Viva La Bam: Season 1,3.7,2
134,1996,Spirit Lost,1.5,2
135,1998,GTO: Great Teacher Onizuka: Set 2,3.4,2
136,1927,Cat and the Canary,4,1
137,1998,Naked Lies,3.4,1
138,1995,Star Trek: Voyager: Season 1,1.3,3
139,2001,Allergies: A Natural Approach,3.7,3
140,1993,Lost in the Wild,2.4,1
141,2004,Goddess of Mercy,2,3
142,2000,The Tricky Master,4.2,2
143,1997,The Game,3,2
144,2000,Deepak Chopra: The Way of the Wizard & Alchemy,3,3
145,1978,Get Out Your Handkerchiefs,4.9,3
146,1988,Cannibal Women in the Avocado Jungle of Death,4.9,1
147,1992,Where Sleeping Dogs Lie,1.9,3
148,2001,Sweet November,4.7,2
149,2005,The Edward R. Murrow Collection,3.8,3
150,2001,Firetrap,3.2,1
151,2005,Sleepover Nightmare,3.5,2
152,1995,A Little Princess,4.9,3
153,2002,MTV Yoga,2.6,2
154,2000,Demon Warrior Koji,4.9,1
155,1975,The Strongest Man in the World,4.9,1
156,1992,Husbands and Wives,4,2
157,2004,Laird: White Knuckle Extreme,4.6,1
158,2004,A Killer Within,1.7,1
159,1971,Gentlemen of Fortune,1.7,1
160,2000,Gormenghast,2.9,3
161,1939,Ninotchka,3.1,1
162,1968,John Cleese on How to Irritate People,4.8,3
163,2002,MTV: Making the Band 2: Best of Season 1,1.4,2
164,2003,One Last Dance,2.6,2
165,1982,Richard Pryor: Live on the Sunset Strip,1.5,2
166,1980,Fame,4.7,1
167,2004,The Chorus,2.3,1
168,1983,Smokey and the Bandit Part 3,4.2,2
169,2004,Cartoon Network Halloween: 9 Creepy Cartoon Capers,3.9,1
170,1972,Tomorrow,3.9,1
171,1957,Funny Face,1.6,3
172,2003,Jack,1.5,1
173,1968,The Devil's Brigade,2.9,2
174,1968,Adam-12: Season 1,3.5,3
175,1992,Reservoir Dogs,4.4,3
176,2004,The History Channel Presents: Troy: Unearthing the Legend,4.6,2
177,2002,Pressure,3,1
178,1996,Regular Guys,2.2,3
179,2003,Bollywood Bound,1,3
180,2002,Scratch,1.7,1
181,2004,The Last Shot,2.6,3
182,2001,Moby: Play,3.1,1
183,2005,IFilm: Deranged,1.9,2
184,2004,Billy Blanks: Tae Bo: Cardio Circuit 1,4.6,1
185,1985,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,2.2,2
186,1950,Panic in the Streets,1.9,2
187,2002,Death to Smoochy,1.4,2
188,2005,Dead Birds,2.2,3
189,1982,Airplane II: The Sequel,4.8,3
190,1989,Blood and Sand,4.9,3
191,2003,X2: X-Men United,1.4,3
192,2003,The SoulTaker,3.9,2
193,2005,Marilyn Manson: Fear of a Satanic Planet,4.5,3
194,1996,Arliss: The Best of Arliss,3.4,2
195,2004,Chasing Freedom,4.3,2
196,1992,Peter Tosh: Stepping Razor: Red X,2.2,2
197,2004,Taking Lives,4.6,1
198,1997,Gupt,1.3,1
199,1978,The Deer Hunter,2.6,3
200,1964,The Fall of the Roman Empire,3.1,3
201,2001,Home Movie,2.1,3
202,2001,Ruby's Bucket of Blood,1.5,1
203,1997,Sports Illustrated Swimsuit Edition: 1997,1.7,3
204,2002,Venus Boyz,2.8,3
205,2004,Troy: Bonus Material,2,2
206,2004,Unconstitutional: The War on Our Civil Liberties,1.1,2
207,2001,Denise Austin: Ultimate Fat Burner,1.9,1
208,1947,The Three Stooges: Sing a Song of Six Pants,1.3,2
209,1996,Star Trek: Deep Space Nine: Season 5,2.5,2
210,2001,Onmyoji,2,1
211,2004,The Agronomist,2.5,1
212,1982,Querelle,1.4,1
213,2001,Dinner Rush,4.9,3
214,2002,Read-Along: Beauty and the Beast,4.8,2
215,1998,That '70s Show: Season 1,1.8,3
216,2000,Impostor,4.6,3
217,1988,Cherry 2000,4.9,3
218,1983,Triumph: Live at the US Festival,3.2,3
219,1995,Neon Bible,1.1,2
220,1983,Winston Churchill: The Wilderness Years,4.6,1
221,2005,Voyage to the Planets and Beyond,2.9,3
222,1998,Yellow,2.4,1
223,2003,Chappelle's Show: Season 1,2.6,2
224,1999,Midsomer Murders: Blood Will Out,2.2,3
225,2004,The Cookout,3.7,2
226,1996,Henry: Portrait of a Serial Killer 2,3.4,2
227,2001,The Carol Burnett Show: Show Stoppers,3.1,1
228,1979,Butch and Sundance: The Early Days,4.4,2
229,2003,Peter Gabriel: Growing Up Live,3.1,3
230,1987,Unsolved Mysteries: Psychics,4.1,3
231,2002,Marooned in Iraq,4.5,1
232,1989,Gross Anatomy,2.1,1
233,1971,Chato's Land,2.1,1
234,1921,Animation Legend: Winsor McCay,3.4,3
235,1996,Unhook the Stars,4.5,2
236,1998,Cartoon Crazys Sci-Fi,3.9,2
237,1918,Broken Blossoms,2.2,1
238,1976,Led Zeppelin: The Song Remains the Same,4.9,3
239,2004,Winnie the Pooh: Springtime with Roo,3.2,3
240,1942,Woman of the Year,4.9,1
241,1959,North by Northwest,2.6,1
242,1995,Neon Genesis Evangelion: The End of Evangelion,3.6,1
243,1962,Pressure Point,2.2,3
244,2004,Stellvia,1.4,1
245,2002,Road Dogz,3.7,3
246,1968,The Boston Strangler,1.1,1
247,1994,Oleanna,3.7,2
248,2001,Michael Moore's The Awful Truth: Season 2,1.6,1
249,1958,The Hunters,1.8,2
250,1966,Cast a Giant Shadow,2.8,3
251,2000,Midsomer Murders: Strangler's Wood,2.6,2
252,2002,Stuart Little 2,1.5,2
253,1935,A Night at the Opera,4,2
254,2003,Westender,4.8,1
255,2001,The Hunchback of Notre Dame II,4,3
256,2000,Ghost Dog: The Way of the Samurai,4.7,3
257,1973,Charlotte's Web,1.3,3
258,1999,Mann,3.5,2
259,2004,Animal,4.7,3
260,1967,Marat / Sade,4.1,1
261,1948,The Big Clock,4.6,2
262,1974,Herbie Rides Again,3.6,1
263,2001,Dragon Ball: Tournament Saga,3.8,3
265,2002,The Jeff Corwin Experience: Costa Rica and the Amazon,4,3
266,2000,Saudade Do Futuro,3.4,3
267,1994,Touched by an Angel: Season 1,4.8,1
268,1980,The Final Countdown,1.3,3
269,1989,Parenthood,4.4,3
270,2001,Sex and the City: Season 4,1.2,1
271,1943,Saludos Amigos,4.3,2
272,1973,Female Yakuza Tale,3,1
273,2004,Taxi,1,3
274,2002,Crazy as Hell,4.2,2
275,2002,Evelyn,3.2,1
276,1998,Cold Harvest,1,3
277,2003,Enigma: MCMXC A.D,2.3,3
278,1990,100 Days Before the Command,2.6,2
279,1984,Micki and Maude,3.9,1
280,1998,Sarah Brightman: In Concert,2.5,1
281,1993,The Legend,3,3
282,2003,Blue Seed: Beyond,3,1
283,1996,If These Walls Could Talk,2.8,3
284,2005,Sasquatch Hunters,1.8,2
285,1997,The Devil's Own,3.9,2
286,1966,Thunderbirds Are Go,2.7,2
287,1994,Luther Vandross: Always and Forever: An Evening of Songs,4.4,2
288,2004,Saturday Night Live: The Best of Chris Kattan,2,1
289,1998,The Avengers,2.2,2
290,2004,Harold and Kumar Go to White Castle,3.7,2
291,2000,Chained Heat 3: Hell Mountain,1.4,2
292,2005,Saturday Night Live: The Best of Gilda Radner,4.9,2
293,2003,Lennon Legend: The Very Best of John Lennon,4.8,3
294,2002,Oasis,3.8,2
295,1995,Ace Ventura: When Nature Calls,1.1,2
296,2000,In His Life: The John Lennon Story,3.4,2
297,2003,The Hebrew Hammer,2.2,1
298,2002,Crunch: Pick Your Spot Pilates,2.5,2
299,2001,Bridget Jones's Diary,3.7,1
300,1997,Option Zero,3.6,2
301,2003,Hard Ground,4.4,3
302,2001,The Isle,2.9,1
303,1959,Les Liaisons Dangereuses,3.2,2
304,1997,King of the Hill: Season 1,4.8,2
305,1996,Jack,3.8,3
306,2005,Sesame Street: Sing Yourself Silly!,1.5,1
307,2002,Godsmack: Smack This!,1.7,2
308,1974,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,1.4,3
309,1975,The Day of the Locust,3.1,1
310,2000,Leila,3.5,3
311,1994,Ed Wood,3.8,1
312,2000,High Fidelity,3.7,1
313,2000,Pay It Forward,2.6,1
314,1985,Saturday Night Live: The Best of Jon Lovitz,4.8,3
315,1964,Combat! Season 3: Operation 2,3.4,1
316,1999,Futurama: Monster Robot Maniac Fun Collection,1.8,2
317,1997,Mandela and de Klerk,2.7,3
318,1994,Beyond Suspicion,2.2,2
319,1987,Straight to Hell,1.4,1
320,1997,Eat Your Heart Out,1,1
321,2004,Ju-Rei: The Uncanny,3.9,2
322,1974,Flesh Gordon,1.3,1
323,1999,Modern Vampires,4.9,2
324,1994,Mother's Boys,2.8,3
325,2004,Ghosts of Rwanda: Frontline,4.5,3
326,1937,The Plainsman,4.1,1
327,1997,Storefront Hitchcock,2.9,1
328,2002,Deftones: Live in Hawaii,3.8,2
329,1999,Dogma,2.3,1
330,1998,Wild Things,3.9,1
331,1997,Chasing Amy,2.1,3
332,2002,They Crawl,2.6,2
333,2003,Mail Call: The Best of Season 2,1.9,3
334,2005,The Pacifier,3.2,3
335,1981,Fear No Evil,1.8,2
336,1978,The Driver,2.3,1
337,1983,Star 80,3,2
338,1942,The Three Stooges: Three Smart Saps,3.4,2
339,1968,Rolling Stones: Rock and Roll Circus,4.1,2
340,1998,Midnight: 2000 Seen By...,3.3,2
341,2004,Tremors 4: The Legend Begins,1.6,3
342,2001,Noir,2.7,1
343,2000,French and Saunders: Live,2.2,3
344,1967,The Taming of the Shrew,1.9,2
345,1998,Star Trek: Voyager: Season 5,2.9,1
346,2005,Up and Down,2.4,1
347,1989,Iceman Cometh,3.4,3
348,1988,The Last Temptation of Christ,1.8,2
349,1978,The Swarm,2.4,1
351,1969,Guns of the Magnificent Seven,4.8,2
352,1997,Pick a Card,3.5,2
353,2002,Life or Something Like It,3.7,2
354,1981,Sadomania,2.9,1
355,1973,Sinful Nuns of St. Valentine,4.1,2
356,2005,Look at Me,1,1
357,2003,House of Sand and Fog,3.5,1
358,1979,The Onion Field,3.4,1
359,2003,Absolutely Fabulous: Series 5,3.8,3
360,1999,Lies,4.1,3
361,2004,The Phantom of the Opera: Special Edition,2.2,3
362,2000,The Flintstones in Viva Rock Vegas,2.7,1
363,2002,Stark Raving Mad,2.5,3
364,2004,Billy Blanks: Tae Bo: Contact 2,3.2,1
365,1989,R.E.M.: Tourfilm,5,3
367,2003,Spun,2.8,2
368,1986,The Best of Designing Women,1.7,2
369,2000,Playing Mona Lisa,1.4,3
370,1918,Chaplin,3.4,1
371,1966,The Trouble with Angels,2.4,2
372,1998,Jeans,3.2,1
373,2000,Third World Cop,2.5,1
374,1976,The Little Girl Who Lives Down the Lane,1.7,1
375,2003,Nine Dead Gay Guys,1.8,1
376,2001,Genesis: The Way We Walk: Live in Concert,4.5,1
377,1979,Dick Francis: The Racing Game,4.7,2
378,2003,Party Monster,1.2,2
379,1996,Crash Dive,1.1,3
380,1992,Live Wire,4.9,3
381,1991,Out for Justice,2,3
382,2004,Buried in the Sand: The Deception of America,3.4,1
383,2001,Hit Team,1.2,1
384,1986,Crossroads,4.8,1
385,2002,The Santa Clause 2,4.6,2
386,1994,Princess Caraboo,2.1,1
387,1984,Bizet's Carmen,1.3,2
388,1990,Body Chemistry,4.5,1
389,2002,Steal,3.8,1
390,1981,The Fan,2.4,1
391,1967,The Monkees: Season 2,4.9,1
392,1993,Danielle Steel's Heartbeat,3.5,2
393,1998,The Replacement Killers,1.3,2
395,1935,Captain Blood,1.3,2
396,2001,Arjuna: Complete Collection,1.5,3
397,1946,A Night in Casablanca,4.9,1
398,1976,In the Realm of the Senses,4.8,1
399,2001,Fangs,1.1,2
400,1970,Rio Lobo,3.7,3
401,1989,Halloween 5: The Revenge of Michael Myers,2.2,3
402,1999,Pan Tadeusz,2.5,2
403,2000,Substitute 4: Failure is Not an Option,3.9,2
404,2001,The Shaft,3.1,3
405,1987,Wings of Desire,4.3,2
406,2005,Hostage,2.4,3
407,1972,The Abductors,1,3
408,1990,Nightbreed,1.4,2
409,1966,Godzilla vs. The Sea Monster,4.7,1
410,1998,Frank Lloyd Wright,3.7,1
411,1999,Vendetta,4.5,2
412,1999,Jay Jay the Jet Plane: Adventures in Learning,2.7,2
413,2002,Igby Goes Down,4.6,1
414,1999,Girl,2,1
415,2002,Reign in Darkness,2.3,1
416,2003,Elephant,2,1
417,1986,Transformers: Season 3: Part 1,4.9,1
418,2004,The Deal,4,2
419,2005,George Lopez: Why You Crying?,2.6,2
420,1999,Saturday Night Live: The Best of Dana Carvey,2.6,2
421,2003,Agatha Christie's Poirot: Sad Cypress,2.7,3
422,1964,The Unsinkable Molly Brown,3.8,1
423,1963,My Favorite Martian #1,4.2,1
424,1998,Happiness,2.8,2
425,2000,The 10th Kingdom,1.5,3
426,2001,Recess: School's Out,5,2
427,1990,Graveyard Shift,2.4,3
428,2004,Barney: Barney's Colorful World: Live,2.8,3
429,1997,Zeus and Roxanne,4.7,2
430,2002,Chobits,1.3,1
431,2002,Millennium Actress,1.9,2
432,1996,Les Miserables in Concert,4.2,1
433,1993,Untamed Heart,3.7,3
434,2004,Extreme Engineering: Tokyo's Sky City,1.9,1
435,1996,Love Can Seriously Damage Your Health,4.9,2
436,1985,Girls Just Want to Have Fun,1.6,2
437,2005,Beyblade: Fierce Battle,5,2
438,1997,Bean: The Movie,4.5,1
439,1961,Town Without Pity,2.5,2
440,2003,Just 4 Kicks,4.2,2
441,1968,Dark Shadows: Vol. 9,4.2,3
442,1988,Mississippi Burning,4.3,1
443,2002,Rabbit-Proof Fence,4.3,2
444,2001,The Inner Tour,2,1
445,1996,Michael Collins,1.3,2
446,1995,The Underneath,4,3
447,1986,The Making of Fanny and Alexander,2.6,2
448,2001,Oswald: Welcome to the Big City!,3.2,2
449,2003,Jimmy Buffett: MiniMatinee #1,4.1,3
450,2000,Isaac Stern: Life's Virtuoso,3,3
451,1993,Batman the Animated Series: Vol. 3,3.2,1
452,2002,Scorched,3.3,2
453,1992,Simple Men,4,3
454,1995,Xena: Warrior Princess: Season 3,2.1,1
455,1999,Cardcaptor Sakura: The Movie,2.8,3
456,1996,Emma (Miniseries),2.5,2
457,2004,Kill Bill: Vol. 2,2.7,2
458,2001,Blast,2.1,1
459,1996,Basquiat,3,1
460,1971,Pink Narcissus,2.1,2
461,2000,Nightwalker #1: Midnight Detective,4.9,3
462,2005,Classic Cartoon Favorites: Starring Donald,2.7,1
463,1962,The Twilight Zone: Vol. 12,4.2,3
464,1987,The Return of Ruben Blades,2.4,2
465,1995,Coolie No.1,1.1,1
467,1941,Topper Returns,4.9,3
468,2003,The Matrix: Revolutions,3,3
469,1998,First Night of My Life: 2000 Seen By...,3.4,3
470,2001,Beneath Loch Ness,3.6,2
471,1931,City Lights,3.6,1
472,1998,Mr. Jealousy,2.4,1
473,1997,Princess Mononoke,1.6,1
474,1998,Legend of 1900,4.9,3
475,1993,Surf Ninjas,2.6,3
476,2004,VeggieTales Classics: Where's God When I'm Scared?,1.7,1
477,1990,George Carlin: Personal Favorites,2.6,1
478,1962,The Beverly Hillbillies,2.7,3
479,1988,George Carlin: What Am I Doing in New Jersey?,4.9,3
480,1997,Flypaper,4.9,2
481,2002,Building the Great Pyramid,4.9,3
482,2002,Frida,1.5,3
483,2001,Rush Hour 2,1.9,1
484,1992,Danielle Steel's Jewels,2.1,3
485,1967,The Avengers '67,4.1,3
486,1959,Journey to the Center of the Earth,4.6,3
487,1968,Doctor Who: Lost in Time: The Patrick Troughton Years,3.5,1
488,2001,His Secret Life,3.6,2
489,1998,Return to Paradise,4.2,3
490,1999,The Passion of Ayn Rand,2.2,2
491,1966,Torn Curtain,1.6,2
492,1984,Mrs. Soffel,4.1,1
493,1972,The Giallo Collection: Who Saw Her Die?,4.4,1
494,1983,Monty Python's The Meaning of Life: Special Edition,3,2
495,2000,Mission Kashmir,3,1
496,2004,Primus: Hallucino-Genetics Live 2004,4.8,2
497,2003,Broadway's Lost Treasures,3.6,1
498,1989,Glory: Bonus Material,4.5,2
499,2000,Under Suspicion,1.1,3
500,2002,Mail Call: The Best of Season 1,3.1,3
501,1975,Three Days of the Condor,2.6,1
502,2003,Mitch Hedberg: Mitch All Together,3.5,3
503,2005,Max and Ruby: Springtime for Max and Ruby,4.7,1
504,1964,The Twilight Zone: Vol. 27,4.7,3
505,1997,A Thousand Acres,3.9,3
